course_id,title,domain,level,duration_hours,description,skills_taught,rating,enrolled,provider
cs101,Introduction to Computer Science,computer_science,beginner,40,"Fundamental concepts of CS including algorithms, data structures, and computational thinking.","programming_basics|computational_thinking|problem_solving",4.7,150000,edX
python101,Python for Everybody,programming,beginner,30,"Learn to program and analyze data using Python. Variables, conditionals, loops, functions, data structures.","python|basic_programming|data_structures",4.8,200000,Coursera
webdev101,HTML CSS JavaScript for Web Developers,web_development,beginner,35,"Build modern web pages using HTML5 CSS3 and JavaScript. Responsive design and web standards.","html|css|javascript|responsive_design",4.6,120000,Coursera
datascience101,Introduction to Data Science,data_science,beginner,45,"Explore data science: data collection analysis visualization and basic statistics.","data_analysis|statistics|data_visualization|critical_thinking",4.5,95000,edX
python201,Intermediate Python Programming,programming,intermediate,25,"Deepen Python skills: OOP decorators generators context managers advanced data structures.","python_advanced|oop|decorators|context_managers",4.6,80000,Coursera
algorithms201,Algorithms Specialization,computer_science,intermediate,60,"Divide-and-conquer sorting graph algorithms dynamic programming greedy algorithms.","algorithms|dynamic_programming|graph_theory|complexity_analysis",4.7,75000,Coursera
react201,Meta React Developer Certificate,web_development,intermediate,80,"Build dynamic web apps with React. Hooks state management routing testing.","react|javascript_advanced|state_management|testing",4.7,110000,Coursera
ml201,Machine Learning by Andrew Ng,machine_learning,intermediate,55,"Classic ML: supervised learning unsupervised learning best practices neural networks.","machine_learning|linear_regression|neural_networks|model_evaluation",4.9,300000,Coursera
ds201,Applied Data Science with Python,data_science,intermediate,50,"Hands-on data science: pandas NumPy matplotlib scikit-learn NLP basics.","pandas|numpy|matplotlib|scikit_learn|nlp_basics",4.6,88000,Coursera
nodejs201,Server-side Development with NodeJS,web_development,intermediate,35,"Scalable server-side apps with Node.js Express MongoDB REST APIs.","nodejs|express|mongodb|rest_api",4.5,70000,Coursera
db201,Database Design and Basic SQL,data_management,beginner,20,"Relational database design normalization SQL queries joins subqueries indexes.","sql|database_design|normalization|query_optimization",4.4,65000,Coursera
dl301,Deep Learning Specialization,machine_learning,advanced,90,"CNNs RNNs LSTMs transformers GANs practical implementations.","deep_learning|cnn|rnn|transformers|gan",4.9,250000,Coursera
nlp301,NLP Specialization,machine_learning,advanced,70,"Sentiment analysis machine translation transformers question answering.","nlp|text_processing|transformers|sentiment_analysis",4.7,60000,Coursera
cloud301,AWS Cloud Practitioner,cloud_computing,beginner,25,"AWS cloud concepts core services security pricing support.","cloud_basics|aws|deployment|security_basics",4.6,100000,Coursera
devops301,DevOps on AWS,cloud_computing,intermediate,65,"CI/CD infrastructure as code Docker Kubernetes on AWS.","devops|docker|kubernetes|ci_cd|terraform",4.5,55000,Coursera
cybersec101,Introduction to Cybersecurity,cybersecurity,beginner,30,"Network security cryptography security frameworks.","network_security|cryptography|security_frameworks",4.4,80000,Coursera
mobile101,Flutter Mobile Development,mobile_development,intermediate,50,"Build mobile apps with Flutter and Dart. Widgets state management deployment.","flutter|dart|mobile_development|ui_design",4.6,45000,Coursera
aiml301,AI for Everyone,artificial_intelligence,beginner,20,"Non-technical AI intro: concepts capabilities limitations implications.","ai_literacy|ai_strategy|ethics|business_ai",4.8,500000,Coursera
dp401,MLOps Specialization,machine_learning,advanced,75,"End-to-end ML pipeline: data engineering model development deployment monitoring.","mlops|model_deployment|feature_engineering|model_monitoring",4.7,35000,Coursera
fullstack401,Full Stack Capstone Project,web_development,advanced,60,"Complete full-stack app: frontend backend database auth deployment.","full_stack|system_design|authentication|deployment",4.6,40000,Coursera
